sample_id,engine_temp,battery_voltage,rpm,tire_pressure_fl,tire_pressure_fr,tire_pressure_rl,tire_pressure_rr,oil_pressure,coolant_temp,fuel_level,label,label_name
84,97.76,11.83,4490,41.1,31.4,33.9,29.4,34.99,98.08,17.4,1,Warning
85,95.61,12.37,3820,40.4,34.7,33.1,30.3,29.77,106.4,10.5,1,Warning
86,112.54,10.02,6213,20.0,20.8,35.9,33.6,9.29,111.64,4.7,2,Critical
87,80.25,14.5,3257,33.1,35.8,35.1,31.2,61.24,77.74,74.8,0,Normal
88,75.76,14.25,2611,29.3,29.2,32.9,31.0,55.89,83.69,93.9,0,Normal
89,95.52,12.5,3765,41.7,31.4,31.2,30.2,22.34,99.17,10.9,1,Warning
90,96.44,12.04,4195,23.4,29.4,33.6,31.7,22.92,98.13,7.1,1,Warning
91,124.93,11.25,5907,19.8,17.1,32.1,29.3,12.97,121.07,1.4,2,Critical
92,87.7,12.76,2940,35.6,33.2,34.0,34.0,69.75,81.83,33.0,0,Normal
93,82.98,13.8,971,35.5,32.5,34.7,33.6,59.85,89.32,90.0,0,Normal
94,119.98,10.72,6014,19.5,21.9,29.1,35.0,10.6,118.02,1.3,2,Critical
95,116.48,11.63,5807,14.3,21.7,33.5,33.3,8.72,114.58,0.2,2,Critical
96,88.37,12.8,1120,34.3,30.0,32.3,34.1,57.79,79.21,44.3,0,Normal
97,95.34,12.19,3988,25.4,35.6,30.3,32.3,33.11,103.97,9.8,1,Warning
98,102.64,11.83,4213,40.1,30.6,33.1,32.2,23.74,106.58,16.3,1,Warning
99,127.75,11.19,5361,22.9,32.8,35.9,34.8,7.35,124.37,4.6,2,Critical
100,80.53,14.23,2568,33.0,32.4,31.8,33.3,39.36,78.25,44.2,0,Normal
101,76.28,13.86,2048,30.4,35.1,31.0,31.0,44.55,90.35,76.5,0,Normal
102,76.43,12.63,817,33.1,34.7,31.8,32.1,55.63,85.66,75.0,0,Normal
103,97.17,12.34,3788,40.5,31.5,32.0,29.8,27.24,96.76,17.9,1,Warning
104,85.07,14.01,1641,29.1,33.2,35.9,30.8,41.63,77.48,64.4,0,Normal
105,90.05,14.21,1559,34.2,32.9,33.1,32.3,56.01,77.71,52.7,0,Normal
106,83.6,13.5,2220,30.3,30.0,33.7,31.8,45.15,75.63,87.7,0,Normal
107,85.5,13.86,2765,32.6,33.2,31.8,29.3,38.5,88.1,99.6,0,Normal
108,76.44,13.27,1357,35.7,31.9,34.3,31.7,39.61,92.26,20.0,0,Normal
109,77.2,14.12,2974,34.2,35.7,30.9,34.8,47.32,85.75,55.6,0,Normal
110,82.39,14.06,1835,30.7,30.9,29.3,32.8,64.08,90.38,55.0,0,Normal
111,95.82,12.12,3753,39.3,35.6,28.7,32.6,31.37,97.53,14.5,1,Warning
112,83.62,12.55,976,32.6,31.2,35.8,32.3,37.92,75.36,78.0,0,Normal
113,112.3,10.35,6383,19.4,20.8,35.1,33.1,15.2,128.56,6.2,2,Critical
114,81.31,14.31,2981,34.7,33.3,35.2,31.1,59.63,83.09,68.0,0,Normal
115,88.06,13.76,2161,29.2,34.1,32.8,30.9,46.47,93.71,69.9,0,Normal
116,104.84,12.16,4092,25.8,35.7,30.6,33.9,25.71,103.33,17.1,1,Warning
117,80.07,13.25,3480,30.2,29.5,33.1,29.2,41.32,87.44,72.8,0,Normal
118,83.85,14.24,918,31.7,32.5,32.0,29.8,40.37,91.75,58.8,0,Normal
119,101.57,12.05,4708,27.7,32.5,35.4,33.2,33.38,97.92,18.6,1,Warning
120,131.02,11.33,5907,18.7,35.1,33.5,32.0,18.34,110.41,6.5,2,Critical
121,89.0,13.58,1160,33.8,29.5,30.5,34.5,50.23,84.96,99.0,0,Normal
122,101.92,11.94,4421,42.0,33.9,32.7,34.9,29.66,102.63,8.6,1,Warning
123,89.59,12.61,2326,35.9,32.7,34.6,33.2,62.41,88.11,75.3,0,Normal
124,84.03,13.67,2079,29.3,32.5,30.8,31.4,57.72,84.95,27.5,0,Normal
125,98.91,11.82,4623,38.0,33.7,35.0,29.7,24.24,107.33,13.3,1,Warning
126,78.41,12.5,1973,29.3,30.9,36.0,35.4,42.53,81.2,57.1,0,Normal
127,78.64,13.27,3074,33.2,29.5,32.3,29.6,49.22,83.07,71.9,0,Normal
128,102.17,11.91,3974,39.8,36.0,31.4,35.9,23.64,100.71,18.5,1,Warning
129,78.62,14.32,3181,33.8,30.7,31.9,30.5,39.5,82.6,66.1,0,Normal
130,130.96,10.6,6433,20.2,35.6,30.7,33.0,5.69,111.62,2.9,2,Critical
131,122.25,11.36,6211,18.2,20.4,33.7,32.7,6.02,116.54,2.6,2,Critical
132,89.96,14.14,2670,30.1,29.3,33.6,33.5,47.93,84.45,59.1,0,Normal
133,80.65,13.4,3101,33.7,34.3,33.1,35.9,43.45,80.25,27.4,0,Normal
134,78.32,13.03,3347,31.9,30.7,32.4,31.7,60.53,94.24,67.3,0,Normal
135,105.56,12.44,3503,37.9,30.4,30.4,31.9,22.14,98.83,5.4,1,Warning
136,119.79,11.61,5914,14.9,30.4,34.0,29.2,21.42,120.7,3.9,2,Critical
137,112.56,11.68,6138,15.0,16.4,33.8,35.6,6.3,129.16,0.6,2,Critical
138,97.89,11.9,4021,38.1,29.4,35.6,35.6,23.94,105.23,11.4,1,Warning
139,94.98,12.29,4630,27.5,34.3,35.4,28.2,27.36,98.45,20.0,1,Warning
140,98.38,12.24,3981,38.0,32.6,29.1,34.4,29.59,101.78,5.8,1,Warning
141,85.16,13.38,1308,35.2,31.6,32.1,31.9,41.37,89.63,55.9,0,Normal
142,94.19,12.37,3775,25.9,30.1,32.6,28.1,26.87,105.92,11.9,1,Warning
143,90.91,13.7,1168,33.8,31.4,29.3,31.1,66.7,83.22,89.2,0,Normal
144,105.0,11.94,3906,39.3,28.3,31.4,32.0,27.28,99.33,10.5,1,Warning
145,84.42,13.73,2705,31.3,29.1,33.4,36.0,45.31,78.68,42.5,0,Normal
146,90.17,12.99,3276,32.6,30.8,34.9,29.2,54.58,89.43,42.4,0,Normal
147,94.75,12.06,4170,23.2,30.2,29.0,35.5,25.75,102.01,19.9,1,Warning
148,84.87,13.25,2997,30.0,32.0,33.8,35.1,47.94,86.35,25.5,0,Normal
149,84.63,13.6,3002,34.0,29.2,29.3,33.2,52.02,80.2,53.5,0,Normal
150,96.77,11.94,4390,41.6,35.2,30.7,32.8,23.32,97.13,6.1,1,Warning
151,81.74,14.39,3165,33.1,29.6,30.1,29.5,38.78,94.54,37.0,0,Normal
152,91.68,13.35,1737,32.0,32.0,35.9,33.9,47.57,82.43,54.5,0,Normal
153,96.33,12.07,4737,23.5,30.2,30.2,33.7,30.03,105.75,11.1,1,Warning
154,75.28,14.43,2965,34.1,35.1,35.3,31.4,56.38,87.18,41.4,0,Normal
155,88.51,14.18,1424,31.1,35.1,29.2,32.6,51.23,88.8,33.1,0,Normal
156,91.35,13.6,2335,33.2,32.9,31.0,35.8,56.76,88.42,56.4,0,Normal
157,102.31,12.14,3643,25.8,30.7,28.4,35.6,23.84,101.7,13.2,1,Warning
158,86.41,13.1,1565,33.6,32.8,29.7,35.1,52.94,84.47,35.9,0,Normal
159,103.08,12.35,4159,27.7,30.5,34.6,28.7,27.64,105.28,9.7,1,Warning
160,78.98,13.75,3439,29.9,32.2,32.5,30.2,53.61,87.12,32.6,0,Normal
161,77.78,13.63,2548,31.5,34.8,32.6,33.4,39.93,75.46,24.1,0,Normal
162,79.08,13.79,1439,30.8,33.1,31.9,30.5,63.56,92.21,33.4,0,Normal
163,103.69,12.37,3969,26.6,35.9,30.3,31.3,33.74,99.47,7.3,1,Warning
164,113.04,10.85,5319,21.2,14.3,31.3,32.4,10.49,118.48,5.4,2,Critical
165,93.51,12.37,3787,23.9,30.6,30.4,32.7,31.77,107.25,6.4,1,Warning
166,110.98,11.62,5586,21.2,31.5,34.0,29.6,10.75,129.33,6.0,2,Critical
167,98.71,11.87,4366,40.9,31.9,32.6,32.1,26.21,99.38,11.2,1,Warning
168,83.83,13.57,1115,33.3,29.1,35.5,30.9,36.38,77.16,39.2,0,Normal
169,125.62,10.5,5890,22.7,33.4,30.1,34.7,15.89,133.36,5.4,2,Critical
170,93.8,12.5,3570,27.1,31.5,34.1,33.9,23.78,105.51,6.2,1,Warning
171,81.37,13.15,2671,33.1,33.4,32.9,34.4,41.65,86.11,32.6,0,Normal
172,131.92,11.01,6125,17.1,21.1,35.9,32.3,15.53,122.26,2.1,2,Critical
173,125.66,10.25,6340,18.1,31.1,35.8,32.5,6.02,130.73,1.8,2,Critical
174,80.47,14.16,2835,32.5,34.4,30.9,33.1,65.28,81.36,58.7,0,Normal
175,98.35,12.49,4614,24.4,33.3,33.1,32.2,34.56,101.67,16.8,1,Warning
176,86.02,13.66,1520,30.8,35.9,30.4,34.5,40.13,91.09,34.9,0,Normal
177,96.41,12.36,4795,38.5,34.8,28.8,33.4,26.45,103.9,11.2,1,Warning
178,75.14,13.82,1093,34.1,33.0,31.8,33.9,64.98,90.57,63.6,0,Normal
179,94.89,11.8,3851,25.7,32.9,36.0,32.7,28.86,103.47,18.2,1,Warning
180,100.94,12.48,3595,23.7,31.1,30.3,29.9,22.33,102.8,11.0,1,Warning
181,84.3,14.18,2285,32.4,30.8,34.5,30.4,43.48,91.83,79.3,0,Normal
182,121.45,11.67,5186,18.6,33.5,29.7,35.4,21.2,120.39,4.6,2,Critical
183,101.63,11.86,4632,25.6,34.4,35.0,32.2,28.24,105.01,17.4,1,Warning
184,82.21,13.57,1258,32.1,35.9,32.4,29.1,43.49,94.57,99.1,0,Normal
185,81.79,12.51,3371,35.1,31.0,36.0,31.2,51.06,92.03,44.4,0,Normal
186,121.57,10.67,5647,17.8,22.7,30.4,31.6,14.29,128.76,7.8,2,Critical
187,97.11,11.93,3719,23.9,30.2,34.7,32.0,27.56,97.75,18.1,1,Warning
188,104.28,12.15,4191,26.6,34.4,35.4,28.4,23.58,104.42,14.1,1,Warning
189,100.08,12.09,4595,39.2,29.8,31.8,29.3,30.67,103.27,17.2,1,Warning
190,91.64,14.29,985,35.1,34.9,35.1,30.1,39.09,93.48,33.9,0,Normal
191,86.71,13.57,1724,34.7,34.0,32.3,35.2,43.05,78.41,71.4,0,Normal
192,103.82,12.39,4320,41.6,35.1,36.0,31.2,31.32,104.26,7.6,1,Warning
193,91.92,12.66,1715,30.3,31.5,31.0,30.2,61.74,84.93,93.5,0,Normal
194,86.93,13.8,2492,31.2,34.5,32.8,32.0,56.91,82.21,61.0,0,Normal
195,78.66,14.38,2451,35.3,29.8,33.4,34.9,46.58,78.9,41.2,0,Normal
196,105.17,11.86,4039,25.9,30.2,29.8,30.8,33.68,101.18,11.3,1,Warning
197,85.35,13.8,2917,34.0,34.5,30.0,33.7,60.8,81.0,90.0,0,Normal
198,79.11,13.95,2264,33.9,33.5,33.9,35.3,54.72,76.36,41.7,0,Normal
199,103.38,12.46,3727,37.3,35.9,34.2,31.8,29.48,102.75,8.8,1,Warning
200,110.99,11.16,4998,16.7,14.3,29.7,31.2,16.01,116.52,1.1,2,Critical
201,86.06,13.67,1049,35.2,31.6,29.3,31.3,65.44,93.34,59.2,0,Normal
202,91.07,12.6,2774,30.8,35.1,34.2,35.2,42.56,85.63,82.3,0,Normal
203,81.36,13.19,616,35.9,33.2,31.8,32.8,36.42,78.47,69.9,0,Normal
204,81.64,13.56,697,31.7,32.3,30.8,29.2,59.16,83.7,53.3,0,Normal
205,82.86,13.15,1485,30.8,31.6,30.0,35.1,56.07,77.68,75.5,0,Normal
206,104.24,12.48,4551,23.6,29.7,29.3,35.5,24.02,105.33,11.1,1,Warning
207,99.78,11.89,4505,23.3,35.6,29.3,29.6,29.81,107.76,10.8,1,Warning
208,77.8,13.1,3470,33.4,33.5,29.5,35.8,66.25,85.96,44.8,0,Normal
209,77.39,13.34,3402,33.2,35.5,34.6,32.3,62.47,75.36,28.7,0,Normal
210,121.7,11.04,4968,18.8,20.0,31.0,35.1,15.19,123.33,7.6,2,Critical
211,90.72,14.15,707,31.6,29.3,29.8,33.7,59.96,90.47,89.2,0,Normal
212,77.49,14.46,2391,33.3,35.9,29.6,35.8,42.14,87.46,53.6,0,Normal
213,83.59,13.77,1784,34.2,31.3,31.3,29.9,41.6,92.01,55.7,0,Normal
214,76.25,14.45,615,34.0,30.7,35.8,31.7,35.95,75.54,64.3,0,Normal
215,113.75,11.76,5649,18.7,35.4,35.8,31.3,8.95,109.76,2.8,2,Critical
216,103.85,11.91,3596,37.7,28.3,33.8,34.8,28.69,102.48,10.1,1,Warning
217,90.11,13.59,3169,30.6,31.3,32.3,32.4,69.92,77.29,88.2,0,Normal
218,83.9,13.06,3094,31.8,33.5,30.7,29.1,49.15,85.73,56.8,0,Normal
219,98.42,12.42,3856,27.6,32.9,30.5,29.5,23.22,103.87,8.5,1,Warning
220,88.4,13.24,1310,33.0,29.1,32.3,34.9,67.48,81.85,71.4,0,Normal
221,85.45,13.33,2258,30.1,34.2,29.5,34.1,64.71,84.45,60.8,0,Normal
222,88.94,13.88,984,29.8,34.4,33.4,32.6,66.75,88.19,51.7,0,Normal
223,98.91,12.29,4056,40.4,33.7,29.2,35.8,32.23,102.87,7.5,1,Warning
224,127.94,10.96,5312,19.7,34.5,29.0,34.7,10.21,133.95,6.1,2,Critical
225,117.22,10.98,6488,17.9,35.4,34.5,32.8,15.83,133.25,0.0,2,Critical
226,76.73,14.38,796,32.3,34.9,29.5,29.1,35.87,85.23,84.9,0,Normal
227,76.06,13.42,974,30.1,33.4,31.8,35.5,46.17,89.52,56.9,0,Normal
228,98.74,12.32,4145,40.7,34.4,33.9,31.9,33.7,101.84,19.0,1,Warning
229,76.24,12.87,1153,33.3,30.2,35.2,30.5,38.19,92.51,43.6,0,Normal
230,109.95,10.28,5700,21.6,23.0,34.5,29.4,18.76,128.72,4.2,2,Critical
231,77.02,14.37,3194,30.3,31.3,33.1,34.0,50.49,78.13,28.3,0,Normal
232,100.87,12.04,4366,38.2,35.5,29.6,28.6,24.51,105.78,15.2,1,Warning
233,102.38,12.17,3972,38.3,35.6,30.2,34.0,28.61,99.7,19.9,1,Warning
234,110.91,11.23,4982,15.0,29.0,32.8,29.5,14.24,110.41,0.6,2,Critical
235,79.49,12.88,717,31.6,35.2,31.4,33.8,61.48,81.56,85.7,0,Normal
236,86.84,14.2,2350,31.5,30.3,29.9,34.2,51.42,75.93,98.7,0,Normal
237,87.27,14.37,2439,29.2,32.5,30.1,29.3,55.95,90.54,22.9,0,Normal
238,96.6,11.92,3853,26.9,29.6,31.8,30.8,28.55,102.84,19.9,1,Warning
239,82.54,13.0,1845,33.7,31.0,35.4,31.1,41.94,94.09,84.8,0,Normal
240,89.15,13.8,2674,29.9,29.1,32.0,29.6,47.52,79.47,93.3,0,Normal
241,98.91,12.02,4369,37.4,30.8,28.8,28.5,24.71,104.41,15.4,1,Warning
242,78.72,13.89,2871,30.3,30.7,34.5,29.6,41.68,84.11,94.4,0,Normal
243,89.57,14.33,1986,34.5,30.4,33.2,31.5,55.87,88.51,47.8,0,Normal
244,98.5,12.3,3630,40.2,31.3,30.7,28.4,30.85,101.06,11.7,1,Warning
245,77.45,14.26,878,30.1,32.7,29.5,29.4,35.02,83.73,82.0,0,Normal
246,87.63,14.4,1931,29.1,33.8,31.9,33.7,44.72,75.05,47.6,0,Normal
247,109.13,11.75,6068,22.5,17.1,31.3,35.4,9.89,127.04,1.4,2,Critical
248,78.58,13.73,823,33.0,29.9,34.7,35.6,41.05,84.25,28.2,0,Normal
249,96.89,12.42,4016,39.7,34.3,35.9,32.2,27.87,100.12,19.6,1,Warning
250,75.25,13.5,2408,33.6,31.3,32.3,33.5,49.99,94.24,76.4,0,Normal
251,90.07,12.7,2480,34.5,33.3,32.5,33.3,40.31,79.31,41.6,0,Normal
252,103.44,11.83,4643,27.8,34.5,33.2,30.7,33.49,102.79,17.8,1,Warning
253,83.35,12.53,1395,35.7,31.2,30.3,30.3,51.77,91.85,80.6,0,Normal
254,93.59,12.17,4464,38.7,35.0,29.8,33.8,29.96,97.96,16.1,1,Warning
255,80.32,13.03,2575,30.3,33.5,32.3,34.9,51.97,93.6,92.0,0,Normal
256,89.0,12.69,783,34.3,32.8,31.9,35.3,64.38,76.15,69.3,0,Normal
257,75.62,13.56,2953,33.6,30.4,34.1,34.0,44.19,87.46,68.9,0,Normal
258,107.99,10.32,5758,17.5,20.1,33.6,31.9,14.22,132.73,5.4,2,Critical
259,103.27,12.05,3815,40.9,35.6,29.2,35.1,31.95,104.42,9.7,1,Warning
260,79.32,14.34,1917,33.2,35.9,31.5,34.7,46.14,90.98,68.1,0,Normal
261,123.97,11.44,6174,14.8,31.9,30.8,29.8,15.69,122.19,1.2,2,Critical
262,90.58,13.46,1552,32.7,34.9,33.6,34.6,53.65,87.66,43.1,0,Normal
263,103.42,12.5,4313,41.6,34.6,28.9,30.4,25.39,106.26,8.5,1,Warning
264,81.59,14.19,2211,29.1,30.3,35.5,33.2,67.53,81.2,77.3,0,Normal
265,105.54,11.86,4796,26.5,30.7,34.4,33.2,24.61,103.32,7.1,1,Warning
266,91.3,13.91,3465,35.8,35.4,34.3,33.3,41.03,85.87,81.2,0,Normal
267,83.15,14.22,2462,33.8,35.9,31.9,31.8,67.32,79.92,78.4,0,Normal
268,75.37,13.53,1600,31.9,29.7,34.5,35.6,35.78,87.03,81.1,0,Normal
269,86.83,12.63,1599,34.0,30.1,31.4,33.8,62.14,85.37,96.5,0,Normal
270,104.86,12.01,4598,39.8,33.8,34.9,34.5,25.59,107.92,19.1,1,Warning
271,131.64,10.93,5293,18.7,15.0,33.2,32.1,10.0,110.7,7.6,2,Critical
272,78.87,13.98,1289,35.9,30.6,30.7,35.0,43.5,82.22,77.2,0,Normal
273,104.86,11.99,4257,27.2,32.5,32.3,30.8,31.8,107.57,7.2,1,Warning
274,109.94,10.1,6472,22.2,29.4,30.9,35.3,6.52,120.74,2.7,2,Critical
275,129.19,10.71,5396,21.6,30.3,33.2,29.0,14.78,118.84,5.0,2,Critical
276,84.4,12.9,3049,34.8,32.0,35.8,35.9,39.52,82.35,68.0,0,Normal
277,89.01,13.6,2393,29.4,30.4,32.9,29.4,60.95,91.8,93.6,0,Normal
278,96.94,12.05,3703,41.8,31.3,36.0,29.4,32.35,107.14,15.3,1,Warning
279,88.34,14.44,3030,30.0,32.7,30.2,34.7,55.45,80.27,94.4,0,Normal
280,120.86,11.09,5618,20.3,23.0,32.6,32.9,7.84,125.6,0.4,2,Critical
281,94.95,12.21,3627,24.9,34.2,29.7,33.3,30.4,106.32,9.7,1,Warning
282,78.48,13.5,2112,30.1,34.1,29.6,33.9,64.7,81.99,76.8,0,Normal
283,103.34,11.94,3756,41.7,32.7,33.1,28.1,22.74,96.8,17.3,1,Warning
284,93.17,12.34,3727,24.5,30.7,34.1,28.3,24.55,96.27,16.7,1,Warning
285,90.77,13.4,1491,33.2,29.1,30.9,33.9,57.18,94.64,69.6,0,Normal
286,85.43,13.06,888,33.2,29.5,30.7,29.4,54.21,78.21,68.8,0,Normal
287,123.76,11.65,5479,19.9,35.2,30.4,33.7,19.41,133.19,4.7,2,Critical
288,80.31,12.6,923,31.7,29.4,33.9,30.4,45.57,82.88,53.3,0,Normal
289,78.54,13.54,2948,29.6,31.8,34.2,31.6,41.61,78.91,52.8,0,Normal
290,102.15,12.35,4127,25.1,31.4,34.1,31.2,27.89,103.26,19.8,1,Warning
291,105.41,12.44,3645,39.6,35.4,34.5,31.1,33.52,100.54,9.1,1,Warning
292,98.52,12.2,4635,41.5,31.2,32.7,30.6,28.85,96.59,6.0,1,Warning
293,94.13,12.35,3702,38.8,28.6,34.1,34.3,34.96,107.22,11.5,1,Warning
