restaurant_id,name,city,state,area,cuisine,veg_type,rating,cost_per_head,style,famous_dish
44,Hotel Sangam Thanjavur,Thanjavur,Tamil Nadu,Trichy Road,South Indian/Chinese,both,4.2,500,comfort,"Meals,Chinese,Tandoor"
45,Hotel Saravana Bhavan Kanyakumari,Kanyakumari,Tamil Nadu,Main Road,South Indian,veg,4.3,200,budget,"Idli,Dosa,Filter Coffee"
46,Archana Restaurant Kanyakumari,Kanyakumari,Tamil Nadu,Beach Road,Seafood,non-veg,4.4,500,comfort,"Fish Fry,Crab,Prawn Curry"
47,Seashore Hotel Restaurant,Kanyakumari,Tamil Nadu,Beach Road,South Indian/Seafood,both,4.3,600,comfort,"Fish Curry,Meals,Tiffin"
48,Rapsy Restaurant Munnar,Munnar,Kerala,Main Road,Kerala,both,4.5,350,budget,"Kerala Meals,Fish Curry,Appam"
49,Saravana Bhavan Munnar,Munnar,Kerala,Market Junction,South Indian,veg,4.3,200,budget,"Dosa,Idli,Filter Coffee"
50,Green View Restaurant Munnar,Munnar,Kerala,SH 17,Multi-cuisine,both,4.4,500,comfort,"Kerala,North Indian,Chinese"
51,Copper Pot Munnar,Munnar,Kerala,Tea Estate Road,Continental/Cafe,both,4.6,700,comfort,"Breakfast,Sandwiches,Pasta"
52,The Silver Spoon Munnar,Munnar,Kerala,Market Road,Kerala,both,4.3,400,comfort,"Fish Fry,Beef Roast,Puttu"
53,Guesthouse Kitchen Munnar,Munnar,Kerala,Pallivasal,Home Food,both,4.7,600,comfort,"Kerala Sadhya,Home Recipes"
54,Mushroom Restaurant Alleppey,Alleppey,Kerala,Beach Road,Kerala Seafood,non-veg,4.6,500,comfort,"Karimeen Pollichathu,Crab Masala"
55,Harbour Restaurant Alleppey,Alleppey,Kerala,KSRTC Jetty,Kerala,both,4.4,400,budget,"Fish Curry,Appam,Puttu"
56,Zam Zam Restaurant Alleppey,Alleppey,Kerala,Near Bus Stand,Biryani/Kerala,non-veg,4.5,300,budget,Alleppey Fish Biryani
57,The Kayaloram Restaurant,Alleppey,Kerala,Punnamada Lake,Kerala Fine Dining,both,4.7,1200,luxury,"Houseboat Cuisine,Seafood"
58,Tharavadu Restaurant Alleppey,Alleppey,Kerala,Mullackal,Kerala Traditional,veg,4.4,350,budget,"Sadya,Kerala Meals"
59,Chakara Restaurant Alleppey,Alleppey,Kerala,Beach Road,Seafood,non-veg,4.6,700,comfort,"Karimeen,Tiger Prawn,Crab"
60,Tharavadu Restaurant Fort Kochi,Kochi,Kerala,Rose Street,Kerala Traditional,non-veg,4.8,800,comfort,"Toddy Shop Food,Karimeen,Kappa"
61,Dal Roti Kochi,Kochi,Kerala,Panampilly Nagar,North Indian,both,4.4,500,comfort,"Dal Makhani,Butter Naan"
62,Kashi Art Cafe Kochi,Kochi,Kerala,Burgher Street,Continental Cafe,both,4.6,600,comfort,"Breakfast,Salads,Coffee"
63,Oceanos Restaurant Kochi,Kochi,Kerala,Fort Kochi,Seafood,non-veg,4.7,900,comfort,"Prawn Coconut Curry,Fish Fry"
64,Pai Dosa Restaurant Kochi,Kochi,Kerala,MG Road,South Indian,veg,4.3,200,budget,"Masala Dosa,Idli,Filter Coffee"
65,Malabar Junction Kochi,Kochi,Kerala,Fort Kochi,Kerala,non-veg,4.7,1500,luxury,"Lobster,Karimeen,Kerala Sadhya"
66,Grand Pavilion Marine Drive,Kochi,Kerala,Marine Drive,Multi-cuisine,both,4.5,1000,comfort,"Buffet,Live Counter,Tandoori"
67,Kayees Biryani Kochi,Kochi,Kerala,Mattancherry,Biryani,non-veg,4.8,350,budget,"Thalassery Biryani,Pathiri"
68,Ariya Bhavan Trivandrum,Thiruvananthapuram,Kerala,Statue Junction,South Indian,veg,4.5,200,budget,"Dosa,Idli,Puttu,Coffee"
69,The Villa Maya Trivandrum,Thiruvananthapuram,Kerala,Airport Road,Multi-cuisine,both,4.7,1500,luxury,"Continental,Kerala,Sea Food"
70,Malabar Cafe Kovalam,Thiruvananthapuram,Kerala,Lighthouse Beach,Sea Food/Kerala,non-veg,4.5,700,comfort,"Grilled Fish,Prawn Fry,Curry"
71,Coffee Temple Kovalam,Thiruvananthapuram,Kerala,Lighthouse Beach,Cafe,veg,4.4,400,comfort,"Smoothies,Toast,Coffee"
72,Thakkaram Restaurant Trivandrum,Thiruvananthapuram,Kerala,Kowdiar,Kerala,both,4.6,500,comfort,"Kerala Meals,Fish Curry"
73,Periyar House Restaurant,Thekkady,Kerala,KTDC Premises,Kerala,both,4.3,500,comfort,"Kerala Meals,Fish,Chicken"
74,Ebony Restaurant Thekkady,Thekkady,Kerala,Kumily,Multi-cuisine,both,4.4,700,comfort,"Grilled,Tandoori,Kerala"
75,Coffee Inn Thekkady,Thekkady,Kerala,Kumily Main Road,Cafe/Kerala,veg,4.3,300,budget,"Coffee,Breakfast,Snacks"
76,Ayisha Manzil Thekkady,Thekkady,Kerala,Pollachi Road,Kerala Home Food,non-veg,4.8,1200,comfort,"Home Cooked Kerala,Seafood"
77,Edakkal Hermitage Restaurant,Wayanad,Kerala,Vythiri,Kerala Multi-cuisine,both,4.5,700,comfort,"Kerala,Continental,Tribal Food"
78,Hotel Regency Restaurant Wayanad,Wayanad,Kerala,Kalpetta,South Indian,both,4.2,300,budget,"Meals,Dosa,Biriyani"
79,Pepper County Restaurant,Wayanad,Kerala,Mananthavady,Kerala Home Food,non-veg,4.6,500,comfort,"Pork,Beef,Tribal Cuisine"
80,Vythiri Village Restaurant,Wayanad,Kerala,Vythiri,Luxury Kerala,both,4.7,1800,luxury,"Tribal Set Menu,Forest Dining"
81,Paragon Restaurant Kozhikode,Kozhikode,Kerala,Kannur Road,Malabar,non-veg,4.8,450,comfort,"Calicut Biryani,Karimeen,Prawn"
82,Sagar Restaurant Kozhikode,Kozhikode,Kerala,SM Street,Malabar/Seafood,non-veg,4.6,350,budget,"Fish Curry,Pathiri,Biriyani"
83,Zain Hotel Kozhikode,Kozhikode,Kerala,Silk Street,Malabar Cuisine,non-veg,4.7,500,comfort,"Malabar Biryani,Chicken Fry"
84,Bombay Hotel Kozhikode,Kozhikode,Kerala,Mittai Theruvu,"Halwa,Sweets",veg,4.5,150,budget,"Kozhikode Halwa,Kozhi Curry"
85,Malabar Palace Restaurant,Kozhikode,Kerala,GH Road,Multi-cuisine,both,4.3,600,comfort,"Kerala,Tandoori,Chinese"
86,Hotel Bharath Thrissur,Thrissur,Kerala,Round South,Kerala,both,4.3,300,budget,"Meals,Dosa,Puttu"
87,Ming Palace Thrissur,Thrissur,Kerala,MG Road,Chinese,both,4.2,500,comfort,"Fried Rice,Noodles,Manchurian"
88,Pathans Biryani Thrissur,Thrissur,Kerala,Round North,Biryani,non-veg,4.5,350,budget,"Chicken Biryani,Mutton Biryani"
89,Coffee Temple Varkala,Varkala,Kerala,Cliff,Cafe,veg,4.6,400,comfort,"Smoothies,Pancakes,Coffee"
90,The Sea Pearl Varkala,Varkala,Kerala,Cliff,Seafood,non-veg,4.5,700,comfort,"Grilled Fish,Prawn Masala"
91,Juice Shack Varkala,Varkala,Kerala,North Cliff,Juices/Cafe,veg,4.4,300,budget,"Fresh Juices,Smoothie Bowls"
92,Clafouti Beach Varkala,Varkala,Kerala,Cliff,Continental,both,4.5,800,comfort,"Pizza,Pasta,Crepe"
93,Abba Restaurant Varkala,Varkala,Kerala,Helipad Road,Kerala/Seafood,non-veg,4.6,600,comfort,"Fish Curry,Crab,Kerala Meals"
